PO_#,Vendor_#,Component_Type,Expected_Cost,Actual_Cost,Receipt_Date,Invoice_Date
PO1001,V101,Raw Material,500.00,510.00,2026-06-25,2026-06-26
PO1001,V101,Freight,100.00,105.00,2026-06-25,2026-06-27
PO1002,V102,Raw Material,1200.00,1180.00,2026-06-26,2026-06-27
PO1003,V101,Raw Material,500.00,850.00,2026-06-27,2026-06-28
PO1003,V101,Freight,150.00,,2026-06-27,
PO1004,V102,Demurrage,0.00,450.00,2026-06-28,2026-07-02
PO1005,V103,Bundled_Material_Freight,2000.00,2010.00,2026-06-29,2026-06-30
PO1006,V101,Raw Material,450.00,455.00,2026-07-01,2026-07-02
PO1006,V101,Freight,100.00,120.00,2026-07-01,2026-07-05
PO1007,V104,Raw Material,3000.00,2990.00,2026-07-01,2026-07-02
PO1007,V104,Demurrage,0.00,0.00,2026-07-01,
PO1008,V102,Raw Material,1250.00,1240.00,2026-07-02,2026-07-03
PO1008,V102,Freight,120.00,,2026-07-02,
